MolWt,LogP,HBD,HBA,TPSA,RotatableBonds,AromaticRings,HeavyAtomCount,NumRings,FractionCSP3,NumHeteroatoms,MolRefractivity,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,BalabanJ,BertzCT
153.823,2.5529,0,0,0.0,0,0,5,0,1.0,4,26.143,32,0,0.2656852112875353,-0.06642130282188383,0.0,19.11941547876375
373.7920000000001,2.9971000000000014,2,4,92.7,5,2,26,3,0.21052631578947367,7,94.31850000000003,134,0,0.33947493103509274,-0.47970852269211556,1.8833483571214582,880.9982603297443
272.09,-1.1154000000000002,5,4,153.10999999999999,4,1,16,1,0.4,11,51.26500000000003,92,0,0.3708832884531693,-0.3661592354743626,3.1761221328810336,423.35205919507035
235.069,-1.6633000000000002,6,4,161.30999999999997,4,0,13,0,1.0,10,42.70940000000002,80,0,0.36898780091437283,-0.36748696319792623,0.0,242.91122001449332
151.165,1.3505999999999998,2,2,49.33,1,1,11,1,0.125,3,42.41050000000002,58,0,0.22074743631242583,-0.5079643157925783,2.7362980721056545,253.2994975838911
179.219,2.0437,1,2,38.33,3,1,13,1,0.3,3,51.914700000000025,70,0,0.22074743631883423,-0.49388743379012007,2.635972640607562,279.48114931490306
153.137,0.6726000000000001,3,3,83.55,1,1,11,1,0.0,4,39.478500000000004,58,0,0.3390481968511425,-0.507050155392377,3.232208870305491,295.7372022742226
149.215,0.10669999999999985,3,3,63.32000000000001,2,0,9,0,0.8,4,38.67619999999999,54,0,0.32139182772821095,-0.48004807077049727,0.0,118.61662740247263
304.35,0.2728200000000008,3,6,112.75,3,1,22,4,0.5333333333333333,7,81.66550000000002,118,0,0.4040107441557594,-0.44886155632600794,1.8421522617574033,664.4327993265003
543.5250000000003,0.0012999999999993017,6,12,206.07,5,2,39,5,0.4444444444444444,12,131.75439999999995,208,0,0.2016312814501292,-0.5068479547044317,1.6862632099701684,1376.5187409654486
261.08899999999994,1.884,1,2,41.57,5,0,14,1,1.0,7,59.19120000000003,84,0,0.3429835414088588,-0.305966177865779,2.545008652689994,215.86647567444427
265.222,-2.8909,5,8,151.92,3,0,18,1,0.875,10,55.85690000000003,104,0,0.34012835577711903,-0.39356652265794145,2.70655278648843,315.065713805906
214.052,1.157,1,3,61.77,5,0,12,0,0.8,7,47.339700000000015,70,0,0.3399886072735221,-0.3352164224800899,0.0,155.62875863456514
233.69899999999996,2.2509000000000006,1,3,61.77,4,0,15,1,0.8888888888888888,6,58.62570000000003,86,0,0.34016496497884774,-0.3336851098880215,2.341813687064413,219.4029963976061
976.2109999999997,5.462000000000007,3,16,223.11999999999998,8,0,69,4,0.75,17,253.763399999999,390,0,0.33065940787305104,-0.4341298440440911,1.742950176125324,1827.9619540735564
209.20899999999997,-0.6251000000000002,2,6,99.08,4,2,15,2,0.375,7,52.77320000000002,80,0,0.19897361429597102,-0.3939786739600713,2.210955239096089,455.22879668985246
62.068000000000005,-1.0290000000000001,2,2,40.46,1,0,4,0,1.0,2,14.171600000000002,26,0,0.06622663964681728,-0.39399054157545965,0.0,6.0
126.12300000000002,-1.3818000000000001,3,6,116.72999999999999,0,1,9,1,0.0,6,33.0642,48,0,0.2261102795289593,-0.367590742812541,3.165670309917317,169.06517765499825
396.4040000000001,-2.4273999999999964,4,11,161.24,5,2,28,4,0.6875,12,95.24780000000004,154,0,0.18471970790570008,-0.38741974341790913,1.5043975021973344,833.0576435447861
251.078,1.2708,0,0,0.0,0,0,3,0,1.0,2,11.717,16,0,,,0.0,4.754887502163469
105.09299999999999,-1.6093999999999997,3,3,83.55,2,0,7,0,0.6666666666666666,4,22.696999999999996,42,0,0.3223711468486876,-0.4800213961433728,0.0,72.58027134782354
280.374,1.5517999999999998,1,4,49.410000000000004,3,1,18,3,0.3333333333333333,6,71.93570000000003,94,0,0.25296731961369034,-0.3414175944060845,1.584953429359278,524.1895352348589
396.4460000000001,0.5923000000000007,2,7,113.00999999999999,6,1,26,3,0.375,10,94.34050000000003,138,0,0.3522609581763172,-0.4765594507746848,1.6915380267707594,788.6704465871796
182.172,-3.5854000000000004,6,6,121.38000000000001,5,0,12,0,1.0,6,38.198800000000006,74,0,0.1105786065313125,-0.393579134968567,0.0,104.6059378176129
184.03499999999997,1.4035,1,2,29.46,2,0,11,0,1.0,8,19.2018,68,0,0.5248190962179589,-0.33203657821558874,0.0,124.76953528986598
164.966,2.0293,0,1,9.23,2,0,8,0,1.0,5,27.449999999999996,50,0,0.38509398514237153,-0.3217038131586043,0.0,75.6836743955838
248.30700000000002,1.6838000000000002,2,4,86.18,2,2,17,2,0.0,5,67.16060000000002,88,0,0.2060918054967559,-0.3987277293482943,2.4961289671937283,565.0601341830188
250.28300000000004,0.8596000000000001,2,5,97.97,3,2,17,2,0.0,7,63.69490000000001,88,0,0.26254900906724554,-0.3987277171275083,2.285509074399646,595.9628413066204
290.32300000000004,1.2575999999999998,2,7,105.51,5,2,21,2,0.2857142857142857,7,79.76080000000003,112,0,0.22143163563823987,-0.492704456320783,2.3975621374281344,621.1065134129683
331.34700000000004,1.5833,2,4,74.57,3,2,24,4,0.4117647058823529,7,88.47900000000006,126,0,0.3407230786793809,-0.4774970228339016,1.948598124702446,882.7602568968719
129.167,-1.034159999999999,4,2,88.99000000000001,0,0,9,0,0.5,5,36.46349999999999,52,0,0.19687109774601289,-0.36979795817899275,0.0,126.919684538544
538.8540000000004,9.222800000000003,1,5,72.83,27,0,38,1,0.9393939393939394,5,157.08679999999976,224,0,0.3240268505401095,-0.4615235334470548,2.422055986556262,577.732218075063
324.341,-0.7975999999999985,3,8,151.14000000000004,7,2,23,2,0.5384615384615384,10,82.28550000000001,126,0,0.32275628263485,-0.46206895361928013,1.8360165118449856,737.6302383315938
626.795,3.7338000000000013,5,7,155.08999999999997,13,2,45,2,0.5294117647058824,11,172.3445999999996,248,0,0.40702269417551545,-0.4528702354117826,2.405638513147249,1242.6879481539265
720.9620000000001,5.905200000000005,4,9,145.77999999999997,17,4,50,4,0.43243243243243246,13,196.89689999999945,268,0,0.4073141084370974,-0.4437652036234549,1.463767068594598,1617.4968237573792
297.74500000000006,-0.35129999999999967,3,5,118.35999999999999,1,1,17,2,0.14285714285714285,10,61.63640000000001,94,0,0.24366456161935907,-0.37040168741078,2.7904937240424075,683.3155123780438
330.749,1.8907000000000003,3,5,122.63000000000001,5,2,21,2,0.08333333333333333,9,75.81920000000002,112,0,0.3353035371446019,-0.4776378162172561,2.43548831783497,771.1955159056122
253.26900000000003,0.8334000000000001,3,7,129.62,1,3,19,3,0.0,7,73.8012,94,0,0.22366790092636024,-0.381809299028724,2.3078316699480332,754.8677985188037
339.36600000000004,-1.0658999999999976,3,8,137.53999999999996,3,0,22,3,1.0,10,71.20980000000003,128,0,0.3356878046019542,-0.3906072072458505,1.8077395777827179,541.2443456705979
180.15899999999996,1.3101,1,3,63.60000000000001,2,1,13,1,0.1111111111111111,4,44.71030000000002,68,0,0.33900378687731025,-0.4775395271554559,3.0435273546341013,343.22286772671646
241.29,3.7452400000000017,2,2,49.33,3,2,18,2,0.13333333333333333,3,72.60000000000002,92,0,0.33730974624233334,-0.47758334051759543,2.402484300749035,590.7975148337515
362.47300000000007,4.958100000000005,0,2,40.620000000000005,5,2,27,4,0.391304347826087,4,107.15500000000004,140,0,0.25837516621901246,-0.27167879783766985,1.5998769204856254,727.04035163818
246.375,3.4889000000000028,0,1,17.07,3,1,17,2,0.3333333333333333,2,73.48240000000004,90,0,0.04975983835605589,-0.25464048291338004,2.103721664662803,494.15803429412114
444.44000000000017,-0.21439999999999837,6,9,181.61999999999998,2,1,32,4,0.4090909090909091,10,109.54090000000002,170,0,0.25545083550226955,-0.5096506200499406,2.0479220271303857,1148.584974808633
253.28300000000002,1.3660199999999998,2,5,98.22,3,2,17,2,0.1,7,62.90290000000002,90,0,0.2626376654672867,-0.39872771712750826,2.276726283674452,616.5006093542686
554.592,-1.198999999999999,4,14,215.22000000000003,8,2,36,4,0.3333333333333333,18,129.41870000000003,190,0,0.352158502183179,-0.48830378298526084,1.5071337288752609,1370.6364801048276
